report_150_0.0001_0.13_0.01.txt:0.1857 	 F1
report_150_0.0001_0.13_0.1.txt:0.1858 	 F1
report_150_0.0001_0.13_0.5.txt:0.1862 	 F1
report_150_0.0001_0.13_1.txt:0.1860 	 F1
report_150_0.0001_0.13_10.txt:0.1918 	 F1
report_150_0.0001_0.13_2.txt:0.1892 	 F1
report_150_0.0001_0.13_5.txt:0.1916 	 F1
report_150_0.0001_0.25_0.01.txt:0.1851 	 F1
report_150_0.0001_0.25_0.1.txt:0.1821 	 F1
report_150_0.0001_0.25_0.5.txt:0.1874 	 F1
report_150_0.0001_0.25_1.txt:0.1878 	 F1
report_150_0.0001_0.25_10.txt:0.1972 	 F1
report_150_0.0001_0.25_2.txt:0.1897 	 F1
report_150_0.0001_0.25_5.txt:0.1903 	 F1
report_150_0.0001_0.5_0.01.txt:0.1851 	 F1
report_150_0.0001_0.5_0.1.txt:0.1844 	 F1
report_150_0.0001_0.5_0.5.txt:0.1876 	 F1
report_150_0.0001_0.5_1.txt:0.1886 	 F1
report_150_0.0001_0.5_10.txt:0.0292 	 F1
report_150_0.0001_0.5_2.txt:0.1908 	 F1
report_150_0.0001_0.5_5.txt:0.1895 	 F1
report_150_0.0001_1_0.01.txt:0.1851 	 F1
report_150_0.0001_1_0.1.txt:0.1888 	 F1
report_150_0.0001_1_0.5.txt:0.1896 	 F1
report_150_0.0001_1_1.txt:0.1901 	 F1
report_150_0.0001_1_10.txt:0.0275 	 F1
report_150_0.0001_1_2.txt:0.1919 	 F1
report_150_0.0001_1_5.txt:0.0279 	 F1
report_150_0.001_0.001_0.01.txt:0.1848 	 F1
report_150_0.001_0.001_0.1.txt:0.1848 	 F1
report_150_0.001_0.001_0.5.txt:0.1810 	 F1
report_150_0.001_0.001_1.txt:0.1869 	 F1
report_150_0.001_0.001_10.txt:0.2071 	 F1
report_150_0.001_0.001_2.txt:0.1871 	 F1
report_150_0.001_0.001_5.txt:0.1965 	 F1
report_150_0.001_0.01_0.01.txt:0.1847 	 F1
report_150_0.001_0.01_0.1.txt:0.1847 	 F1
report_150_0.001_0.01_0.5.txt:0.1871 	 F1
report_150_0.001_0.01_1.txt:0.1863 	 F1
report_150_0.001_0.01_10.txt:0.1986 	 F1
report_150_0.001_0.01_2.txt:0.1858 	 F1
report_150_0.001_0.01_5.txt:0.1834 	 F1
report_150_0.001_0.1_0.01.txt:0.1852 	 F1
report_150_0.001_0.1_0.1.txt:0.1864 	 F1
report_150_0.001_0.1_0.5.txt:0.1863 	 F1
report_150_0.001_0.1_1.txt:0.1895 	 F1
report_150_0.001_0.1_10.txt:0.1920 	 F1
report_150_0.001_0.1_2.txt:0.1885 	 F1
report_150_0.001_0.1_5.txt:0.1894 	 F1
report_150_0.001_0.13_0.01.txt:0.1852 	 F1
report_150_0.001_0.13_0.1.txt:0.1887 	 F1
report_150_0.001_0.13_0.5.txt:0.1867 	 F1
report_150_0.001_0.13_1.txt:0.1892 	 F1
report_150_0.001_0.13_10.txt:0.1910 	 F1
report_150_0.001_0.13_2.txt:0.1891 	 F1
report_150_0.001_0.13_5.txt:0.1898 	 F1
report_150_0.001_0.25_0.01.txt:0.1851 	 F1
report_150_0.001_0.25_0.1.txt:0.1860 	 F1
report_150_0.001_0.25_0.5.txt:0.1908 	 F1
report_150_0.001_0.25_1.txt:0.1920 	 F1
report_150_0.001_0.25_10.txt:0.1865 	 F1
report_150_0.001_0.25_2.txt:0.1892 	 F1
report_150_0.001_0.25_5.txt:0.1917 	 F1
report_150_0.001_0.5_0.01.txt:0.1852 	 F1
report_150_0.001_0.5_0.1.txt:0.1868 	 F1
report_150_0.001_0.5_0.5.txt:0.1908 	 F1
report_150_0.001_0.5_1.txt:0.1899 	 F1
report_150_0.001_0.5_10.txt:0.0321 	 F1
report_150_0.001_0.5_2.txt:0.1944 	 F1
report_150_0.001_0.5_5.txt:0.1859 	 F1
report_150_0.001_1_0.01.txt:0.1857 	 F1
report_150_0.001_1_0.1.txt:0.1867 	 F1
report_150_0.001_1_0.5.txt:0.1904 	 F1
report_150_0.001_1_1.txt:0.1929 	 F1
report_150_0.001_1_10.txt:0.0320 	 F1
report_150_0.001_1_2.txt:0.1920 	 F1
report_150_0.001_1_5.txt:0.0300 	 F1
report_150_0.005_0.001_0.01.txt:0.1848 	 F1
report_150_0.005_0.001_0.1.txt:0.1847 	 F1
report_150_0.005_0.001_0.5.txt:0.1844 	 F1
report_150_0.005_0.001_1.txt:0.1994 	 F1
report_150_0.005_0.001_10.txt:0.2018 	 F1
report_150_0.005_0.001_2.txt:0.1973 	 F1
report_150_0.005_0.001_5.txt:0.1975 	 F1
report_150_0.005_0.01_0.01.txt:0.1848 	 F1
report_150_0.005_0.01_0.1.txt:0.1857 	 F1
