report_150_0.0001_0.13_5.txt:0.2711 	 Re
report_150_0.0001_0.25_0.01.txt:0.2272 	 Re
report_150_0.0001_0.25_0.1.txt:0.2409 	 Re
report_150_0.0001_0.25_0.5.txt:0.2703 	 Re
report_150_0.0001_0.25_1.txt:0.2585 	 Re
report_150_0.0001_0.25_10.txt:0.2467 	 Re
report_150_0.0001_0.25_2.txt:0.2795 	 Re
report_150_0.0001_0.25_5.txt:0.2760 	 Re
report_150_0.0001_0.5_0.01.txt:0.2287 	 Re
report_150_0.0001_0.5_0.1.txt:0.2756 	 Re
report_150_0.0001_0.5_0.5.txt:0.2615 	 Re
report_150_0.0001_0.5_1.txt:0.2711 	 Re
report_150_0.0001_0.5_10.txt:0.1525 	 Re
report_150_0.0001_0.5_2.txt:0.2669 	 Re
report_150_0.0001_0.5_5.txt:0.2211 	 Re
report_150_0.0001_1_0.01.txt:0.2307 	 Re
report_150_0.0001_1_0.1.txt:0.2581 	 Re
report_150_0.0001_1_0.5.txt:0.2623 	 Re
report_150_0.0001_1_1.txt:0.2478 	 Re
report_150_0.0001_1_10.txt:1.0000 	 Re
report_150_0.0001_1_2.txt:0.2657 	 Re
report_150_0.0001_1_5.txt:0.7884 	 Re
report_150_0.001_0.001_0.01.txt:0.2318 	 Re
report_150_0.001_0.001_0.1.txt:0.2318 	 Re
report_150_0.001_0.001_0.5.txt:0.2539 	 Re
report_150_0.001_0.001_1.txt:0.2676 	 Re
report_150_0.001_0.001_10.txt:0.2516 	 Re
report_150_0.001_0.001_2.txt:0.2707 	 Re
report_150_0.001_0.001_5.txt:0.2162 	 Re
report_150_0.001_0.01_0.01.txt:0.2318 	 Re
report_150_0.001_0.01_0.1.txt:0.2379 	 Re
report_150_0.001_0.01_0.5.txt:0.2524 	 Re
report_150_0.001_0.01_1.txt:0.2520 	 Re
report_150_0.001_0.01_10.txt:0.2558 	 Re
report_150_0.001_0.01_2.txt:0.2623 	 Re
report_150_0.001_0.01_5.txt:0.2634 	 Re
report_150_0.001_0.1_0.01.txt:0.2272 	 Re
report_150_0.001_0.1_0.1.txt:0.2688 	 Re
report_150_0.001_0.1_0.5.txt:0.2745 	 Re
report_150_0.001_0.1_1.txt:0.2676 	 Re
report_150_0.001_0.1_10.txt:0.2570 	 Re
report_150_0.001_0.1_2.txt:0.2875 	 Re
report_150_0.001_0.1_5.txt:0.2646 	 Re
report_150_0.001_0.13_0.01.txt:0.2272 	 Re
report_150_0.001_0.13_0.1.txt:0.2524 	 Re
report_150_0.001_0.13_0.5.txt:0.2856 	 Re
report_150_0.001_0.13_1.txt:0.2695 	 Re
report_150_0.001_0.13_10.txt:0.2600 	 Re
report_150_0.001_0.13_2.txt:0.2669 	 Re
report_150_0.001_0.13_5.txt:0.2631 	 Re
report_150_0.001_0.25_0.01.txt:0.2284 	 Re
report_150_0.001_0.25_0.1.txt:0.2501 	 Re
report_150_0.001_0.25_0.5.txt:0.2699 	 Re
report_150_0.001_0.25_1.txt:0.2524 	 Re
report_150_0.001_0.25_10.txt:0.2604 	 Re
report_150_0.001_0.25_2.txt:0.2657 	 Re
report_150_0.001_0.25_5.txt:0.2886 	 Re
report_150_0.001_0.5_0.01.txt:0.2272 	 Re
report_150_0.001_0.5_0.1.txt:0.2600 	 Re
report_150_0.001_0.5_0.5.txt:0.2493 	 Re
report_150_0.001_0.5_1.txt:0.2551 	 Re
report_150_0.001_0.5_10.txt:0.1689 	 Re
report_150_0.001_0.5_2.txt:0.2600 	 Re
report_150_0.001_0.5_5.txt:0.2734 	 Re
report_150_0.001_1_0.01.txt:0.2287 	 Re
report_150_0.001_1_0.1.txt:0.2753 	 Re
report_150_0.001_1_0.5.txt:0.2608 	 Re
report_150_0.001_1_1.txt:0.2840 	 Re
report_150_0.001_1_10.txt:0.1723 	 Re
