report_100_10_0.25_5.txt:0.1001 	 Pr
report_100_10_0.5_0.01.txt:0.1741 	 Pr
report_100_10_0.5_0.1.txt:0.1600 	 Pr
report_100_10_0.5_0.5.txt:0.1213 	 Pr
report_100_10_0.5_1.txt:0.1551 	 Pr
report_100_10_0.5_10.txt:0.0943 	 Pr
report_100_10_0.5_2.txt:0.1045 	 Pr
report_100_10_0.5_5.txt:0.0986 	 Pr
report_100_10_1_0.01.txt:0.1908 	 Pr
report_100_10_1_0.1.txt:0.1697 	 Pr
report_100_10_1_0.5.txt:0.1300 	 Pr
report_100_10_1_1.txt:0.1097 	 Pr
report_100_10_1_10.txt:0.0809 	 Pr
report_100_10_1_2.txt:0.1203 	 Pr
report_100_10_1_5.txt:0.1013 	 Pr
report_150_0.0001_0.001_0.01.txt:0.1552 	 Pr
report_150_0.0001_0.001_0.1.txt:0.1535 	 Pr
report_150_0.0001_0.001_0.5.txt:0.1556 	 Pr
report_150_0.0001_0.001_1.txt:0.1560 	 Pr
report_150_0.0001_0.001_10.txt:0.1477 	 Pr
report_150_0.0001_0.001_2.txt:0.1469 	 Pr
report_150_0.0001_0.001_5.txt:0.1483 	 Pr
report_150_0.0001_0.01_0.01.txt:0.1541 	 Pr
report_150_0.0001_0.01_0.1.txt:0.1537 	 Pr
report_150_0.0001_0.01_0.5.txt:0.1596 	 Pr
report_150_0.0001_0.01_1.txt:0.1479 	 Pr
report_150_0.0001_0.01_10.txt:0.1453 	 Pr
report_150_0.0001_0.01_2.txt:0.1480 	 Pr
report_150_0.0001_0.01_5.txt:0.1360 	 Pr
report_150_0.0001_0.1_0.01.txt:0.1558 	 Pr
report_150_0.0001_0.1_0.1.txt:0.1540 	 Pr
report_150_0.0001_0.1_0.5.txt:0.1484 	 Pr
report_150_0.0001_0.1_1.txt:0.1389 	 Pr
report_150_0.0001_0.1_10.txt:0.1443 	 Pr
report_150_0.0001_0.1_2.txt:0.1500 	 Pr
report_150_0.0001_0.1_5.txt:0.1541 	 Pr
report_150_0.0001_0.13_0.01.txt:0.1555 	 Pr
report_150_0.0001_0.13_0.1.txt:0.1519 	 Pr
report_150_0.0001_0.13_0.5.txt:0.1472 	 Pr
report_150_0.0001_0.13_1.txt:0.1387 	 Pr
report_150_0.0001_0.13_10.txt:0.1503 	 Pr
report_150_0.0001_0.13_2.txt:0.1479 	 Pr
report_150_0.0001_0.13_5.txt:0.1482 	 Pr
report_150_0.0001_0.25_0.01.txt:0.1562 	 Pr
report_150_0.0001_0.25_0.1.txt:0.1463 	 Pr
report_150_0.0001_0.25_0.5.txt:0.1434 	 Pr
report_150_0.0001_0.25_1.txt:0.1474 	 Pr
report_150_0.0001_0.25_10.txt:0.1643 	 Pr
report_150_0.0001_0.25_2.txt:0.1435 	 Pr
report_150_0.0001_0.25_5.txt:0.1452 	 Pr
report_150_0.0001_0.5_0.01.txt:0.1555 	 Pr
report_150_0.0001_0.5_0.1.txt:0.1385 	 Pr
report_150_0.0001_0.5_0.5.txt:0.1463 	 Pr
report_150_0.0001_0.5_1.txt:0.1447 	 Pr
report_150_0.0001_0.5_10.txt:0.0161 	 Pr
report_150_0.0001_0.5_2.txt:0.1484 	 Pr
report_150_0.0001_0.5_5.txt:0.1658 	 Pr
report_150_0.0001_1_0.01.txt:0.1546 	 Pr
report_150_0.0001_1_0.1.txt:0.1489 	 Pr
report_150_0.0001_1_0.5.txt:0.1485 	 Pr
report_150_0.0001_1_1.txt:0.1541 	 Pr
report_150_0.0001_1_10.txt:0.0139 	 Pr
report_150_0.0001_1_2.txt:0.1502 	 Pr
report_150_0.0001_1_5.txt:0.0142 	 Pr
report_150_0.001_0.001_0.01.txt:0.1536 	 Pr
report_150_0.001_0.001_0.1.txt:0.1536 	 Pr
report_150_0.001_0.001_0.5.txt:0.1406 	 Pr
report_150_0.001_0.001_1.txt:0.1435 	 Pr
report_150_0.001_0.001_10.txt:0.1760 	 Pr
report_150_0.001_0.001_2.txt:0.1430 	 Pr
report_150_0.001_0.001_5.txt:0.1802 	 Pr
report_150_0.001_0.01_0.01.txt:0.1535 	 Pr
report_150_0.001_0.01_0.1.txt:0.1510 	 Pr
report_150_0.001_0.01_0.5.txt:0.1487 	 Pr
report_150_0.001_0.01_1.txt:0.1478 	 Pr
report_150_0.001_0.01_10.txt:0.1623 	 Pr
report_150_0.001_0.01_2.txt:0.1438 	 Pr
report_150_0.001_0.01_5.txt:0.1407 	 Pr
report_150_0.001_0.1_0.01.txt:0.1563 	 Pr
report_150_0.001_0.1_0.1.txt:0.1427 	 Pr
report_150_0.001_0.1_0.5.txt:0.1410 	 Pr
report_150_0.001_0.1_1.txt:0.1467 	 Pr
report_150_0.001_0.1_10.txt:0.1533 	 Pr
report_150_0.001_0.1_2.txt:0.1402 	 Pr
report_150_0.001_0.1_5.txt:0.1475 	 Pr
report_150_0.001_0.13_0.01.txt:0.1562 	 Pr
report_150_0.001_0.13_0.1.txt:0.1506 	 Pr
report_150_0.001_0.13_0.5.txt:0.1387 	 Pr
report_150_0.001_0.13_1.txt:0.1458 	 Pr
report_150_0.001_0.13_10.txt:0.1509 	 Pr
report_150_0.001_0.13_2.txt:0.1464 	 Pr
report_150_0.001_0.13_5.txt:0.1485 	 Pr
report_150_0.001_0.25_0.01.txt:0.1556 	 Pr
report_150_0.001_0.25_0.1.txt:0.1480 	 Pr
report_150_0.001_0.25_0.5.txt:0.1475 	 Pr
report_150_0.001_0.25_1.txt:0.1550 	 Pr
report_150_0.001_0.25_10.txt:0.1452 	 Pr
report_150_0.001_0.25_2.txt:0.1470 	 Pr
report_150_0.001_0.25_5.txt:0.1435 	 Pr
report_150_0.001_0.5_0.01.txt:0.1563 	 Pr
report_150_0.001_0.5_0.1.txt:0.1458 	 Pr
report_150_0.001_0.5_0.5.txt:0.1545 	 Pr
report_150_0.001_0.5_1.txt:0.1513 	 Pr
report_150_0.001_0.5_10.txt:0.0177 	 Pr
report_150_0.001_0.5_2.txt:0.1552 	 Pr
report_150_0.001_0.5_5.txt:0.1408 	 Pr
report_150_0.001_1_0.01.txt:0.1563 	 Pr
report_150_0.001_1_0.1.txt:0.1412 	 Pr
report_150_0.001_1_0.5.txt:0.1499 	 Pr
report_150_0.001_1_1.txt:0.1460 	 Pr
report_150_0.001_1_10.txt:0.0176 	 Pr
report_150_0.001_1_2.txt:0.1457 	 Pr
report_150_0.001_1_5.txt:0.0159 	 Pr
report_150_0.005_0.001_0.01.txt:0.1536 	 Pr
report_150_0.005_0.001_0.1.txt:0.1535 	 Pr
report_150_0.005_0.001_0.5.txt:0.1389 	 Pr
report_150_0.005_0.001_1.txt:0.1682 	 Pr
report_150_0.005_0.001_10.txt:0.1649 	 Pr
report_150_0.005_0.001_2.txt:0.1694 	 Pr
report_150_0.005_0.001_5.txt:0.1568 	 Pr
report_150_0.005_0.01_0.01.txt:0.1537 	 Pr
report_150_0.005_0.01_0.1.txt:0.1419 	 Pr
report_150_0.005_0.01_0.5.txt:0.1469 	 Pr
report_150_0.005_0.01_1.txt:0.1587 	 Pr
report_150_0.005_0.01_10.txt:0.1659 	 Pr
report_150_0.005_0.01_2.txt:0.1598 	 Pr
report_150_0.005_0.01_5.txt:0.1863 	 Pr
report_150_0.005_0.1_0.01.txt:0.1535 	 Pr
report_150_0.005_0.1_0.1.txt:0.1482 	 Pr
report_150_0.005_0.1_0.5.txt:0.1467 	 Pr
report_150_0.005_0.1_1.txt:0.1592 	 Pr
report_150_0.005_0.1_10.txt:0.1594 	 Pr
report_150_0.005_0.1_2.txt:0.1617 	 Pr
report_150_0.005_0.1_5.txt:0.1606 	 Pr
report_150_0.005_0.13_0.01.txt:0.1555 	 Pr
report_150_0.005_0.13_0.1.txt:0.1476 	 Pr
report_150_0.005_0.13_0.5.txt:0.1479 	 Pr
report_150_0.005_0.13_1.txt:0.1514 	 Pr
report_150_0.005_0.13_10.txt:0.1439 	 Pr
report_150_0.005_0.13_2.txt:0.1605 	 Pr
report_150_0.005_0.13_5.txt:0.1504 	 Pr
report_150_0.005_0.25_0.01.txt:0.1642 	 Pr
report_150_0.005_0.25_0.1.txt:0.1455 	 Pr
report_150_0.005_0.25_0.5.txt:0.1553 	 Pr
report_150_0.005_0.25_1.txt:0.1481 	 Pr
report_150_0.005_0.25_10.txt:0.1584 	 Pr
report_150_0.005_0.25_2.txt:0.1518 	 Pr
report_150_0.005_0.25_5.txt:0.1479 	 Pr
report_150_0.005_0.5_0.01.txt:0.1510 	 Pr
report_150_0.005_0.5_0.1.txt:0.1415 	 Pr
report_150_0.005_0.5_0.5.txt:0.1502 	 Pr
report_150_0.005_0.5_1.txt:0.1505 	 Pr
report_150_0.005_0.5_10.txt:0.0394 	 Pr
report_150_0.005_0.5_2.txt:0.1470 	 Pr
report_150_0.005_0.5_5.txt:0.1442 	 Pr
report_150_0.005_1_0.01.txt:0.1504 	 Pr
report_150_0.005_1_0.1.txt:0.1473 	 Pr
report_150_0.005_1_0.5.txt:0.1478 	 Pr
report_150_0.005_1_1.txt:0.1480 	 Pr
report_150_0.005_1_10.txt:0.0158 	 Pr
report_150_0.005_1_2.txt:0.1464 	 Pr
report_150_0.005_1_5.txt:0.0158 	 Pr
report_150_0.01_0.001_0.01.txt:0.1536 	 Pr
report_150_0.01_0.001_0.1.txt:0.1569 	 Pr
report_150_0.01_0.001_0.5.txt:0.1681 	 Pr
